CandidateKey,CandidateID,FirstName,LastName,Email,Phone,AppliedPositionKey,AppliedDateKey,ResumeScore,Source,CurrentStatus
1,CAND000001,James,Carney,candidate1@example.com,+919000000001,1,20230726,36.83,LinkedIn,Interviewing
2,CAND000002,Sarah,West,candidate2@example.com,+919000000002,2,20231020,37.84,Referral,Interviewing
3,CAND000003,Zachary,Phillips,candidate3@example.com,+919000000003,3,20231101,47.04,JobBoard,Interviewing
4,CAND000004,Katelyn,Franklin,candidate4@example.com,+919000000004,4,20240413,49.28,LinkedIn,Interviewing
5,CAND000005,William,Patton,candidate5@example.com,+919000000005,5,20230723,22.59,LinkedIn,Rejected
6,CAND000006,Robert,Ramsey,candidate6@example.com,+919000000006,6,20250705,38.53,JobBoard,Interviewing
7,CAND000007,Audrey,Luna,candidate7@example.com,+919000000007,7,20240608,26.71,Referral,Interviewing
8,CAND000008,Linda,Martin,candidate8@example.com,+919000000008,8,20250516,62.8,LinkedIn,Interviewing
9,CAND000009,Kayla,Cantu,candidate9@example.com,+919000000009,9,20240907,55.9,JobBoard,Interviewing
10,CAND000010,Adrian,Moon,candidate10@example.com,+919000000010,10,20250522,42.51,Referral,Rejected
11,CAND000011,Sharon,Reed,candidate11@example.com,+919000000011,11,20240302,36.51,LinkedIn,Hired
12,CAND000012,Adam,Lawrence,candidate12@example.com,+919000000012,12,20250319,67.5,JobBoard,Interviewing
13,CAND000013,Savannah,Matthews,candidate13@example.com,+919000000013,13,20250617,32.7,JobBoard,NoShow
14,CAND000014,David,Robinson,candidate14@example.com,+919000000014,14,20240106,44.32,Referral,Interviewing
15,CAND000015,Tanner,Nolan,candidate15@example.com,+919000000015,15,20250526,42.38,Referral,Rejected
16,CAND000016,Stacey,Jones,candidate16@example.com,+919000000016,16,20250717,60.34,JobBoard,Interviewing
17,CAND000017,Laura,Wyatt,candidate17@example.com,+919000000017,17,20240925,20.62,LinkedIn,Interviewing
18,CAND000018,Jenny,Baker,candidate18@example.com,+919000000018,18,20231120,55.46,Referral,Interviewing
19,CAND000019,Tracy,Vargas,candidate19@example.com,+919000000019,19,20230415,79.81,LinkedIn,Interviewing
20,CAND000020,Angela,Bradley,candidate20@example.com,+919000000020,20,20250829,71.18,JobBoard,Rejected
21,CAND000021,Timothy,PhD,candidate21@example.com,+919000000021,21,20230706,79.16,Referral,Interviewing
22,CAND000022,John,Logan,candidate22@example.com,+919000000022,22,20241123,34.51,Referral,Hired
23,CAND000023,Randall,Valdez,candidate23@example.com,+919000000023,23,20240611,26.0,Referral,Interviewing
24,CAND000024,Kara,Anderson,candidate24@example.com,+919000000024,24,20241018,62.03,LinkedIn,Interviewing
25,CAND000025,Jonathan,Summers,candidate25@example.com,+919000000025,25,20240325,69.23,JobBoard,Rejected
26,CAND000026,Andrew,Goodman,candidate26@example.com,+919000000026,26,20230717,27.24,LinkedIn,NoShow
