OnboardingKey,CandidateKey,StartDateKey,CompletionDateKey,Mentor,OnboardingStatus,Notes
1,7,20240507,20231122.0,Thomas Gonzales,Delayed,Onboarding record 1
2,12,20231201,20231029.0,Amy Newton,InProgress,Onboarding record 2
3,14,20250120,20241209.0,Ryan Shelton,InProgress,Onboarding record 3
4,24,20230902,20240702.0,Dale Morgan,Completed,Onboarding record 4
5,27,20250805,,Crystal Meyer,InProgress,Onboarding record 5
6,28,20240929,20240929.0,Stephen Sullivan,InProgress,Onboarding record 6
7,36,20240922,20230412.0,Catherine Meadows,Completed,Onboarding record 7
8,37,20230514,20250424.0,Nicholas Taylor,Delayed,Onboarding record 8
9,40,20250807,20250527.0,Mary Davis MD,Delayed,Onboarding record 9
10,44,20240409,,Wendy Stevens,Delayed,Onboarding record 10
11,52,20231020,20240416.0,Lucas Hill,Delayed,Onboarding record 11
12,53,20230702,20240624.0,Steven Ramirez,InProgress,Onboarding record 12
13,57,20250527,20230605.0,Henry Keller,Delayed,Onboarding record 13
14,58,20250103,20240920.0,Rachel Carpenter,InProgress,Onboarding record 14
15,61,20230507,,Tracey Smith,Delayed,Onboarding record 15
16,63,20241116,20240122.0,Ryan Armstrong,Completed,Onboarding record 16
17,66,20230829,20240506.0,Brandon Reid,Delayed,Onboarding record 17
18,67,20231123,20240327.0,Kristen Sosa,InProgress,Onboarding record 18
19,70,20241123,20241228.0,Antonio Larson,Completed,Onboarding record 19
20,72,20250427,,Brenda Gentry,Delayed,Onboarding record 20
21,76,20240823,20241225.0,Debra Johnson,InProgress,Onboarding record 21
22,79,20250331,20241016.0,Jacqueline Cline,InProgress,Onboarding record 22
23,88,20231114,20230528.0,Kim Mendoza,Completed,Onboarding record 23
24,91,20231115,20240813.0,Cheyenne Bonilla,Completed,Onboarding record 24
25,92,20230410,,Amanda Scott,Completed,Onboarding record 25
26,93,20230806,20230907.0,Melinda Harrison,Completed,Onboarding record 26
27,94,20231029,20230326.0,Rodney Johnson,Delayed,Onboarding record 27
28,98,20240830,20250707.0,Lisa Martin,Delayed,Onboarding record 28
29,102,20250414,20231031.0,Brandon Pacheco MD,InProgress,Onboarding record 29
30,103,20231108,,Emily Brown,Delayed,Onboarding record 30
31,105,20231028,20240622.0,Whitney Dean,Delayed,Onboarding record 31
32,109,20230726,20241010.0,Michael Lara,Completed,Onboarding record 32
33,111,20241115,20250526.0,Marilyn Henson,Completed,Onboarding record 33
34,113,20240519,20231129.0,Matthew Martin,InProgress,Onboarding record 34
35,118,20241208,,David Brandt,Delayed,Onboarding record 35
36,124,20240207,20230930.0,Michael Bailey,Delayed,Onboarding record 36
37,130,20240718,20240819.0,Gina Cooke,Delayed,Onboarding record 37
38,131,20250121,20230511.0,Amber Chang,Delayed,Onboarding record 38
39,132,20230502,20250701.0,Trevor Richard,Completed,Onboarding record 39
40,137,20241210,,Dr. Michelle Nash,InProgress,Onboarding record 40
41,144,20240920,20250304.0,Chloe Simpson,Completed,Onboarding record 41
42,149,20250813,20250125.0,Robert White,Delayed,Onboarding record 42
43,150,20240920,20230326.0,Colleen Cook,InProgress,Onboarding record 43
44,153,20250216,20230331.0,Michael Jones,Completed,Onboarding record 44
